SNo,Symbol,Confidence,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,PrevClose,Turnover,Transactions,Diff,Range,ChangePercent,RangePercent,VWAP %,Weeks52High,Weeks52Low,Date,Days120,Days180
319,UPPER,46.62,204.9,204.9,200.0,201.7,201.7,0.0,0.0,201.48,183431.0,201.5,36957928.8,622,0.2,4.9,0.1,2.45,0.11,295.0,152.1,2025-01-28,,
324,UPPER,50.86,202.0,210.9,201.0,210.5,210.5,0.0,0.0,208.07,356333.0,201.7,74142186.3,1327,8.8,9.9,4.36,4.93,1.15,295.0,152.1,2025-02-02,,
313,UPPER,50.45,210.0,215.0,207.9,209.5,209.5,0.0,0.0,210.65,288109.0,210.5,60689959.4,1033,-1.0,7.1,-0.48,3.42,-0.55,295.0,152.1,2025-02-03,,
309,UPPER,47.76,209.5,210.0,205.1,206.1,206.1,0.0,0.0,207.22,138696.0,209.5,28740670.4,615,-3.4,4.9,-1.62,2.39,-0.54,295.0,152.1,2025-02-04,,
303,UPPER,47.45,207.6,209.3,205.0,206.0,206.0,0.0,0.0,206.53,126921.0,206.1,26213445.9,493,-0.1,4.3,-0.05,2.1,-0.26,295.0,152.1,2025-02-05,,
309,UPPER,47.46,201.9,210.0,201.9,204.0,204.0,0.0,0.0,205.17,138900.0,206.0,28498742.4,617,-2.0,8.1,-0.97,4.01,-0.58,295.0,152.1,2025-02-06,,
299,UPPER,30.21,207.0,208.0,203.0,203.2,203.2,0.0,0.0,204.21,101420.0,204.0,20710710.4,581,-0.8,5.0,-0.39,2.46,-0.5,295.0,152.1,2025-02-09,,
316,UPPER,29.23,205.4,206.0,202.0,203.0,203.0,0.0,0.0,203.05,99784.0,203.2,20261202.7,472,-0.2,4.0,-0.1,1.98,-0.02,295.0,152.1,2025-02-10,,
293,UPPER,28.79,203.2,205.0,202.0,202.6,202.6,0.0,0.0,202.76,99861.0,203.0,20248080.2,444,-0.4,3.0,-0.2,1.49,-0.08,295.0,152.1,2025-02-11,,
301,UPPER,29.59,202.6,204.5,202.0,202.9,202.9,0.0,0.0,202.64,110871.0,202.6,22466938.5,478,0.3,2.5,0.15,1.24,0.13,295.0,152.1,2025-02-12,,
296,UPPER,31.06,202.9,203.0,200.1,201.5,201.5,0.0,0.0,201.04,164617.0,202.9,33095082.0,791,-1.4,2.9,-0.69,1.45,0.23,295.0,152.1,2025-02-13,,
303,UPPER,33.26,202.0,205.0,200.0,202.9,202.9,0.0,0.0,202.14,168157.0,201.5,33991618.8,698,1.4,5.0,0.69,2.5,0.37,295.0,152.1,2025-02-16,,
296,UPPER,35.83,206.9,206.9,203.0,204.0,204.0,0.0,0.0,203.91,158218.0,202.9,32261970.0,672,1.1,3.9,0.54,1.92,0.04,295.0,152.1,2025-02-17,,
308,UPPER,32.57,208.0,208.0,202.7,202.7,202.7,0.0,0.0,204.26,124707.0,204.0,25472249.0,624,-1.3,5.3,-0.64,2.61,-0.77,295.0,152.1,2025-02-18,,
303,UPPER,28.29,202.0,203.0,201.0,201.2,201.2,0.0,0.0,201.77,143743.0,202.7,29002660.4,656,-1.5,2.0,-0.74,1.0,-0.28,295.0,152.1,2025-02-20,,
322,UPPER,31.57,200.0,203.0,197.2,201.4,201.4,0.0,0.0,200.89,180909.0,201.2,36343291.0,753,0.2,5.8,0.1,2.94,0.25,295.0,152.1,2025-02-23,,
304,UPPER,30.96,201.4,204.0,200.5,202.0,202.0,0.0,0.0,202.49,148976.0,201.4,30165704.4,698,0.6,3.5,0.3,1.75,-0.24,295.0,152.1,2025-02-24,,
306,UPPER,29.77,198.0,206.4,198.0,201.0,201.0,0.0,0.0,201.73,126436.0,202.0,25506065.9,575,-1.0,8.4,-0.5,4.24,-0.36,295.0,152.1,2025-02-25,,
294,UPPER,50.97,197.5,214.0,197.5,209.7,209.7,0.0,0.0,207.86,432430.0,201.0,89886991.4,1526,8.7,16.5,4.33,8.35,0.88,295.0,152.1,2025-02-27,,
296,UPPER,52.69,213.0,221.9,211.0,221.5,221.5,0.0,0.0,216.76,751668.0,209.7,162928184.5,2568,11.8,10.9,5.63,5.17,2.14,295.0,152.1,2025-03-02,,
294,UPPER,50.57,221.0,228.0,217.0,217.3,217.3,0.0,0.0,220.87,453870.0,221.5,100247653.6,1918,-4.2,11.0,-1.9,5.07,-1.64,295.0,152.1,2025-03-03,,
312,UPPER,50.01,218.0,226.0,215.0,216.8,216.8,0.0,0.0,219.64,494473.0,217.3,108607831.3,1556,-0.5,11.0,-0.23,5.12,-1.31,295.0,152.1,2025-03-04,,
302,UPPER,48.37,216.1,222.0,215.0,215.0,215.0,0.0,0.0,218.38,405685.0,216.8,88592496.3,1244,-1.8,7.0,-0.83,3.26,-1.57,295.0,152.1,2025-03-05,,
304,UPPER,41.08,210.7,218.0,210.7,213.0,213.0,0.0,0.0,214.44,159707.0,215.0,34247111.1,798,-2.0,7.3,-0.93,3.46,-0.67,295.0,152.1,2025-03-06,,
309,UPPER,34.06,213.0,214.5,207.0,207.8,207.8,0.0,0.0,209.8,265336.0,213.0,55667031.5,1063,-5.2,7.5,-2.44,3.62,-0.96,295.0,152.1,2025-03-09,,
305,UPPER,30.74,206.1,211.6,205.1,206.0,206.0,0.0,0.0,207.75,182212.0,207.8,37854558.5,750,-1.8,6.5,-0.87,3.17,-0.85,295.0,152.1,2025-03-10,,
297,UPPER,28.93,205.2,208.5,203.1,204.0,204.0,0.0,0.0,205.22,176221.0,206.0,36164718.7,667,-2.0,5.4,-0.97,2.66,-0.6,295.0,152.1,2025-03-11,,
317,UPPER,27.16,204.0,208.0,204.0,206.7,206.7,0.0,0.0,206.14,129470.0,204.0,26688641.0,539,2.7,4.0,1.32,1.96,0.27,295.0,152.1,2025-03-12,,
310,UPPER,25.77,206.0,207.9,203.0,204.0,204.0,0.0,0.0,204.18,173071.0,206.7,35337496.0,737,-2.7,4.9,-1.31,2.41,-0.09,295.0,152.1,2025-03-16,,
325,UPPER,22.8,203.0,206.0,203.0,203.8,203.8,0.0,0.0,204.39,100460.0,204.0,20532828.1,528,-0.2,3.0,-0.1,1.48,-0.29,295.0,152.1,2025-03-17,,
307,UPPER,25.87,206.0,206.6,203.0,204.0,204.0,0.0,0.0,203.86,99683.0,203.8,20321098.8,504,0.2,3.6,0.1,1.77,0.07,295.0,152.1,2025-03-18,,
305,UPPER,34.31,204.0,205.5,201.0,202.7,202.7,0.0,0.0,202.66,168927.0,204.0,34234714.1,654,-1.3,4.5,-0.64,2.24,0.02,295.0,152.1,2025-03-19,,
306,UPPER,23.11,200.0,204.0,200.0,201.46,201.4,0.06,0.0,201.86,97397.0,202.7,19660789.9,533,-1.24,4.0,-0.61,2.0,-0.2,295.0,152.1,2025-03-20,,
311,UPPER,25.82,203.3,203.3,198.1,198.6,198.8,-0.2,0.0,199.71,230974.0,201.46,46128494.2,1086,-2.86,5.2,-1.42,2.62,-0.56,295.0,152.1,2025-03-23,,
